id,lat,lon,name
USW00053864,33.17833,-86.78167,ALABASTER SHELBY COUNTY AP
USW00013896,34.7441,-87.5997,MUSCLE SHOALS REGIONAL AP
USC00012813,30.5468,-87.8807,FAIRHOPE 2 NE
USC00017157,34.1736,-86.8133,SAINT BERNARD
USC00017304,34.6736,-86.0536,SCOTTSBORO
USC00017366,32.411,-87.0144,SELMA
USC00018469,34.5686,-85.6063,VALLEY HEAD
USC00010402,31.182,-87.439,ATMORE
USC00012758,31.4449,-86.9532,EVERGREEN
USC00014193,31.5253,-87.9277,JACKSON
USW00003878,31.86056,-86.01222,TROY MUNICIPAL AP
USC00017025,33.158,-85.2911,ROCK MILLS
USW00013876,33.56556,-86.745,BIRMINGHAM AP
USC00013775,33.6483,-85.6005,HEFLIN
USC00013154,34.0219,-85.9878,GADSDEN
USC00013655,34.0678,-86.791,HANCEVILLE
USC00013645,34.0966,-87.9913,HAMILTON 3 S
USC00010063,34.2553,-87.1814,ADDISON
USC00017207,34.28778,-85.96806,SAND MT SUBSTATION
USC00013620,34.2314,-87.6352,HALEYVILLE
USC00013573,34.3344,-86.3297,GUNTERSVILLE
USC00013043,34.4406,-85.7236,FORT PAYNE
USC00015635,34.48833,-87.29889,MOULTON 2
USC00017131,34.51,-87.7319,RUSSELLVILLE NO 2
USC00010655,34.6891,-86.8819,BELLE MINA 2 N
USW00053852,34.6525,-86.94528,DECATUR PRYOR FIELD
USC00010390,34.7752,-86.9508,ATHENS
USC00011099,34.9786,-85.8008,BRIDGEPORT 5 NW
USC00012096,34.1924,-86.7972,CULLMAN NAHS
USC00013575,34.3347,-86.3294,GUNTERSVILLE NO.2
USC00010425,32.5992,-85.4653,AUBURN NO.2
USW00013839,31.3167,-85.45,DOTHAN REGIONAL AP
USW00013871,33.5872,-85.8556,ANNISTON METROPOLITAN AP
USW00003856,34.64389,-86.78611,HUNTSVILLE INTL AP JONES FIELD
USW00093806,33.2119,-87.6161,TUSCALOOSA MUNICIPAL AP
USW00013894,30.68833,-88.24556,MOBILE REGIONAL AP
USW00013895,32.4,-86.23333,MONTGOMERY
USW00013895,32.2997,-86.4075,MONTGOMERY AP
USC00010260,34.96285,-87.37195,ANDERSON
USC00016196,34.5528,-86.445,OWENS CROSS ROADS 3S
USC00018812,34.2834,-86.9142,WEST POINT
USW00003195,35.94611,-112.15472,GRAND CANYON NATIONAL PARK AP
USC00021248,36.1533,-109.5394,CANYON DE CHELLY
USC00026796,34.5706,-112.4322,PRESCOTT
USC00027390,32.815,-109.6808,SAFFORD AGRICULTURAL CTR
USC00027716,35.3322,-112.8797,SELIGMAN
USC00029287,33.9792,-112.7403,WICKENBURG
USC00029359,35.2413,-112.1929,WILLIAMS
USC00020672,36.9139,-113.9423,BEAVER DAM
USC00026716,31.8834,-109.2056,PORTAL 4 SW
USC00024675,31.96018,-111.59787,KITT PEAK
USC00023190,33.6027,-111.713,FOUNTAIN HILLS
USW00003145,32.65,-114.61667,YUMA MCAS - COOP
USC00028396,32.7225,-113.9191,TACNA 3 NE
USW00093084,32.85472,-109.63528,SAFFORD MUNICIPAL AP
USC00023393,32.9481,-112.7131,GILA BEND
USW00023183,33.4277,-112.0038,PHOENIX AIRPORT
USC00020808,33.4783,-109.7516,BLACK RIVER PUMPS
USC00022790,33.6133,-114.4706,EHRENBERG 2 E
USC00029634,33.595,-112.3014,YOUNGTOWN
USW00003192,33.62278,-111.91056,SCOTTSDALE MUNICIPAL AP
USW00003184,33.68833,-112.08167,PHOENIX DEER VALLEY MUNICIPAL AP
USC00029464,33.7477,-112.5983,WITTMANN 4SW
USC00021282,33.8161,-111.9019,CAREFREE
USC00020159,33.8492,-109.1469,ALPINE
USC00026840,33.8555,-111.3063,PUNKIN CENTER
USC00021353,33.9826,-112.3628,CASTLE HOT SPRINGS
USC00025412,34.1141,-109.8588,MC NARY 2N
USC00026601,34.124,-109.922,PINETOP 2E
USC00026653,34.1003,-110.9659,PLEASANT VALLEY
USC00028162,34.1311,-109.275,SPRINGERVILLE
USW00093139,34.2326,-111.3446,PAYSON
USC00025825,34.322,-111.4532,NATURAL BRIDGE
USC00022109,34.305,-112.165,CORDES
USC00023961,34.3925,-110.558,HEBER (BLACK MESA) RANGER STATION
USC00028012,34.508,-110.0838,SNOWFLAKE
USC00020586,34.5975,-113.1745,BAGDAD
USC00020871,34.6108,-111.1922,BLUE RIDGE RANGER STATION
USC00025635,34.6105,-111.838,MONTEZUMA CASTLE NM
USC00029309,34.7055,-113.6124,WIKIEUP
USC00023828,34.7433,-111.4139,HAPPY JACK RS
USC00028904,34.7705,-112.0263,TUZIGOOT
USC00024453,34.7522,-112.1114,JEROME
USC00021654,34.7569,-112.4567,CHINO VALLEY
USC00026468,34.7994,-109.885,PETRIFIED FOREST NP
USC00029645,34.8775,-114.1344,YUCCA 1 NNE
USC00029158,34.9281,-112.8097,WALNUT CREEK
USC00026037,34.9599,-111.7553,OAK CREEK CANYON
USC00026190,35.068,-109.7688,PAINTED DESERT NP
USW00003103,35.1441,-111.6663,FLAGSTAFF PULLIAM AP
USC00021050,35.1411,-114.5686,BULLHEAD CITY
USC00029156,35.1721,-111.5097,WALNUT CANYON N.M.
USC00027488,35.2239,-109.3222,SANDERS
USC00028329,35.3694,-111.5436,SUNSET CRATER NM
USC00029542,35.5247,-111.3702,WUPATKI NM
USC00023303,35.7088,-109.5539,GANADO
USC00024586,35.8109,-110.1932,KEAMS CANYON
USC00026471,36.1066,-112.0947,PHANTOM RANCH
USC00021001,36.2147,-112.0619,BRIGHT ANGEL RS
USC00020750,36.6778,-110.5411,BETATAKIN
USC00026616,36.8586,-112.7386,PIPE SPRINGS NATL MON
USC00028468,36.9233,-109.09,TEEC NOS POS
USC00023009,35.1611,-111.7311,FLAGSTAFF 4 SW
USC00024761,34.5031,-114.3604,LAKE HAVASU CITY
USC00025426,36.0184,-114.0681,MEADVIEW 1W
USW00003196,31.42083,-110.84583,NOGALES INTL AP
USW00093026,31.4583,-109.6061,DOUGLAS BISBEE INL AP
USW00093167,35.2577,-113.933,KINGMAN MOHAVE COUNTY AP
USC00028499,33.42583,-111.92166,TEMPE ASU
USC00027855,34.2639,-110.0075,SHOW LOW AIRPORT
USC00027855,34.25,-110.03333,SHOW LOW CITY
USW00023160,32.1313,-110.9552,TUCSON INTL AP
USW00023160,32.18333,-110.91667,TUCSON WBO
USC00022527,35.2948,-113.3665,DIAMOND M RANCH
USC00020678,35.2302,-111.8221,BELLEMONT WFO
USC00020404,32.7306,-111.6917,ARIZONA CITY
USC00026603,33.7275,-111.8605,PINNACLE PEAK
USC00031596,35.1034,-92.4903,CONWAY
USC00031632,36.4197,-90.5858,CORNING
USC00032930,36.4261,-94.448,GRAVETTE
USC00034572,36.4947,-91.535,MAMMOTH SPRING
USC00034756,34.5979,-94.29,MENA
USC00035186,35.6042,-91.2744,NEWPORT
USC00035754,34.2255,-92.0185,PINE BLUFF
USC00035820,36.2641,-90.9682,POCAHONTAS 1
USC00035908,33.8204,-93.3879,PRESCOTT 2 NNW
USC00036928,35.3028,-93.6369,SUBIACO
USC00036253,33.8102,-91.2777,ROHWER 2 NNE
USC00031730,33.1111,-91.948,CROSSETT 2 SSE
USC00032355,33.1144,-91.2627,EUDORA
USC00035866,33.2511,-91.5058,PORTLAND
USC00031140,33.3063,-92.4832,CALION LOCK & DAM
USC00034548,33.2951,-93.2325,MAGNOLIA
USW00013977,33.4536,-94.0074,TEXARKANA WEBB FIELD
USC00031962,33.5597,-91.3849,DERMOTT 3 NE
USC00031152,33.59,-92.8236,CAMDEN 1
USC00032540,33.82278,-92.39889,FORDYCE
USC00033428,33.7092,-93.5563,HOPE 3 NE
USC00036174,33.9539,-92.2019,RISON
USC00035112,33.9294,-93.8583,NASHVILLE
USC00030240,34.025,-91.3444,ARKANSAS POST
USC00031948,34.0463,-94.348,DEQUEEN
USC00035079,34.0784,-93.702,MURFREESBORO 1W
USC00030220,34.14333,-93.05889,ARKADELPHIA
USC00034134,34.1743,-92.5946,LEOLA
USC00036562,34.3019,-92.3914,SHERIDAN
USC00036376,34.3702,-91.1241,SAINT CHARLES
USC00034562,34.3947,-92.8363,MALVERN
USC00036920,34.4744,-91.4172,STUTTGART 9 ESE
USC00030664,34.4619,-93.9983,BIG FORK 1 SSE
USW00003962,34.29,-93.06,HOT SPRINGS ASOS
USC00033242,34.5211,-90.5899,HELENA
USC00033466,34.5129,-93.0487,HOT SPRINGS 1 NNE
USC00033862,34.6033,-91.9927,KEO
USC00030764,34.5697,-93.1947,BLAKELY MOUNTAIN DAM
USW00013963,34.7273,-92.2389,LITTLE ROCK AP ADAMS FIELD
USW00003952,34.8353,-92.2596,NORTH LITTLE ROCK WFO
USC00030130,34.7961,-92.8417,ALUM FORK
USC00037488,34.9229,-94.0944,WALDRON
USC00031968,34.9772,-91.4978,DES ARC
USC00031102,34.9818,-92.0064,CABOT
USC00035200,34.9553,-93.1594,NIMROD DAM
USC00034528,35.0265,-90.7347,MADISON 1 NW
USC00037712,35.1242,-90.1806,WEST MEMPHIS
USC00034938,35.158,-92.7672,MORRILTON
USC00030798,35.1161,-93.6506,BLUE MOUNTAIN DAM
USC00030832,35.093,-93.9258,BOONEVILLE 3 SSE
USC00036506,35.2679,-91.7168,SEARCY
USW00013964,35.333,-94.3625,FORT SMITH REGIONAL AP
USC00032978,35.5206,-91.9997,GREERS FERRY DAM
USC00031457,35.5328,-93.4036,CLARKSVILLE 6 NE
USC00033821,35.6871,-90.0963,KEISER
USC00035018,35.6494,-94.1541,MOUNTAINBURG 2 NE
USC00030460,35.7595,-91.6384,BATESVILLE L&D 1
USC00030458,35.8306,-91.7944,BATESVILLE LVSTK
USW00003953,35.83111,-90.64639,JONESBORO MUNICIPAL AP
USC00033734,35.849,-90.6589,JONESBORO 2 NE
USC00035046,35.8445,-92.0979,MOUNTAIN VIEW
USC00034666,35.9118,-92.6564,MARSHALL
USC00032794,35.9885,-92.7161,GILBERT
USC00035563,36.0336,-90.4978,PARAGOULD 1S
USW00093993,36.0097,-94.1694,FAYETTEVILLE DRAKE FIELD
USC00032366,36.0803,-91.6146,EVENING SHADE 1 NNE
USC00031132,36.1092,-92.1636,CALICO ROCK 2 WSW
USC00033132,36.2747,-91.5056,HARDY
USC00035036,36.3458,-92.3939,MOUNTAIN HOME 1 NNW
USC00036403,36.3561,-91.8036,SALEM
USC00034106,36.4194,-92.9158,LEAD HILL
USC00034185,33.3613,-93.5674,LEWISVILLE
USC00031459,35.5001,-93.4727,CLARKSVILLE 2N
USC00035512,35.5125,-93.8683,OZARK 2
USC00031191,33.9153,-91.7711,CANE CREEK STATE PARK
USW00053918,36.36889,-92.47028,MOUNTAIN HOME BAXTER COUNTY REGIONAL AP
USW00053919,33.6361,-91.7556,MONTICELLO MUNICIPAL AP
USW00053920,35.25778,-93.09472,RUSSELLVILLE MUNICIPAL AP
USW00053922,36.28333,-94.3,FAYETTEVILLE SPRINGDALE NW AR REGL AP
USW00093992,33.22083,-92.81417,EL DORADO S AR RGNL AP
USW00053925,34.05,-94.40083,DE QUEEN SEVIER COUNTY AP
USW00013971,36.2668,-93.1566,HARRISON BOONE COUNTY AP
USW00093988,34.175,-91.93472,PINE BLUFF GRIDER FLD
USC00030936,34.8822,-91.2152,BRINKLEY
USC00036768,33.9153,-92.8267,SPARKMAN
USW00053921,34.5467,-93.57806,MOUNT IDA ASOS
USW00023161,34.8536,-116.7858,DAGGETT AP
USW00003131,32.81583,-117.13944,SAN DIEGO MONTGOMERY FIELD
USW00023188,32.7336,-117.1831,SAN DIEGO INTERNATIONAL AP
USW00023234,37.6197,-122.3647,SAN FRANCISCO INTERNATIONAL AP
USW00093206,35.23722,-120.64139,SAN LUIS OBISPO MCCHESNEY FIELD
USC00041614,41.5301,-120.1791,CEDARVILLE
USC00041715,39.6911,-121.8211,CHICO UNIVERSITY FARM
USC00042239,32.9897,-116.5872,CUYAMACA
USC00042294,38.5349,-121.7761,DAVIS 2 WSW EXP FARM
USC00042319,36.4622,-116.8669,DEATH VALLEY
USC00045032,38.1061,-121.2877,LODI
USW00023257,37.28472,-120.51278,MERCED MUNICIPAL AP
USC00046508,41.3088,-123.5316,ORLEANS
USC00047195,39.9366,-120.9475,QUINCY
USC00048758,39.1678,-120.1428,TAHOE CITY
USC00049699,39.52316,-122.3048,WILLOWS 6 W
USC00049855,37.75,-119.5897,YOSEMITE PARK HEADQUARTERS
USC00049866,41.7036,-122.6408,YREKA
USC00040924,33.6131,-114.5972,BLYTHE
USW00024213,40.8097,-124.1602,EUREKA WFO WOODLEY ISLAND
USC00041214,40.8802,-121.6547,BURNEY
USC00042713,32.7669,-115.5617,EL CENTRO 2 SSW
USW00003144,32.83417,-115.57861,IMPERIAL COUNTY AP
USC00040136,32.8358,-116.7774,ALPINE
USC00044412,33.0763,-116.5925,JULIAN CDF
USW00003177,33.12806,-117.27944,CARLSBAD MCCLELLAN PALOMAR AP
USC00040983,33.2559,-116.4036,BORREGO DESERT PARK
USC00046657,33.378,-116.84,PALOMAR MTN OBSERVATORY
USW00023158,33.6186,-114.7142,BLYTHE ASOS
USW00003104,33.62667,-116.15944,DESERT RESORTS REGIONAL AP
USW00093184,33.68,-117.86639,SANTA ANA JOHN WAYNE AP
USC00043855,33.7044,-115.6289,HAYFIELD PUMPING PLANT
USC00044211,33.7572,-116.7066,IDYLLWILD FIRE DEPT
USC00042598,33.8089,-115.4508,EAGLE MOUNTAIN
USW00023129,33.8116,-118.1463,LONG BEACH DAUGHERTY AP
USW00003166,33.87194,-117.97889,FULLERTON MUNICIPAL AP
USW00003167,33.92278,-118.33417,HAWTHORNE MUNICIPAL AP
USW00023174,33.938,-118.3888,LOS ANGELES INTL AP
USW00003171,33.95194,-117.43861,RIVERSIDE MUNICIPAL AP
USW00003179,33.97528,-117.63611,CHINO AP
USW00093197,34.01583,-118.45139,SANTA MONICA MUNICIPAL AP
USW00003102,34.05611,-117.60028,ONTARIO INTL AP
USC00049152,34.0697,-118.4427,U C L A
USC00044297,34.1472,-115.1219,IRON MOUNTAIN
USC00044405,34.1471,-116.2747,JOSHUA TREE
USW00023136,34.21667,-119.08333,CAMARILLO AP
USC00040741,34.243,-116.917,BIG BEAR LAKE
USW00023190,34.4258,-119.8425,SANTA BARBARA MUNI AP
USC00049325,34.52918,-117.29288,VICTORVILLE
USW00023182,34.62944,-118.08361,PALMDALE AP
USW00003159,34.7411,-118.2116,LANCASTER
USW00023187,34.7436,-118.7242,SANDBERG
USC00045756,35.0492,-118.1619,MOJAVE
USW00023155,35.4344,-119.0542,BAKERSFIELD AP
USC00049035,35.7636,-117.3908,TRONA
USC00043710,36.1388,-117.9527,HAIWEE
USC00049367,36.32833,-119.2997,VISALIA
USC00045026,36.6044,-118.7325,LODGEPOLE
USW00023233,36.6636,-121.6081,SALINAS AP
USC00043551,36.7394,-118.9631,GRANT GROVE
USC00046168,37.2811,-121.0177,NEWMAN
USC00045933,37.3436,-121.6425,MOUNT HAMILTON
USW00023157,37.3711,-118.358,BISHOP AP
USW00023244,37.40583,-122.04806,MOFFETT FEDERAL AIRFIELD
USC00048380,37.5122,-119.6331,SO ENTRANCE YOSEMITE N.P.
USW00023258,37.6241,-120.9505,MODESTO CITY COUNTY AP
USW00093228,37.6542,-122.115,HAYWARD AIR TERMINAL
USW00023285,37.6927,-121.8144,LIVERMORE MUNICIPAL AP
USW00023230,37.72139,-122.22083,OAKLAND METROPOLITAN INTL AP
USW00023272,37.7705,-122.4269,SAN FRANCISCO DOWNTOWN
USC00043669,37.8444,-120.2258,GROVELAND 2
USW00023237,37.8891,-121.2258,STOCKTON METROPOLITAN AP
USC00043939,37.9613,-119.783,HETCH HETCHY
USC00041697,37.9747,-119.9161,CHERRY VALLEY DAM
USW00023254,37.9917,-122.055,CONCORD BUCHANAN FIELD
USC00040943,38.2119,-119.0142,BODIE CALIFORNIA STATE HISTORIC PARK
USW00093227,38.2102,-122.2847,NAPA COUNTY AIRPORT
USC00041072,38.2575,-119.2286,BRIDGEPORT
USC00041277,38.2769,-120.3113,CALAVERAS BIG TREES
USC00048713,38.3772,-120.8008,SUTTER HILL CDF
USW00023232,38.5069,-121.495,SACRAMENTO EXECUTIVE AP
USC00044712,38.492,-122.0039,LAKE SOLANO
USW00093230,38.8983,-119.9947,SOUTH LAKE TAHOE AP
USW00093205,39.1019,-121.5677,MARYSVILLE YUBA COUNTY AP
USW00023275,39.12583,-123.20083,UKIAH MUNICIPAL AP
USC00043573,39.2041,-121.068,GRASS VALLEY NO 2
USC00046136,39.2466,-121.0008,NEVADA CITY
USC00042467,39.3239,-120.2331,DONNER MEMORIAL ST PARK
USC00040931,39.3886,-120.0936,BOCA
USC00041018,39.4539,-120.6556,BOWMAN DAM
USC00046521,39.5177,-121.553,OROVILLE
USC00042500,39.5633,-120.8238,DOWNIEVILLE
USC00048606,39.563,-121.1077,STRAWBERRY VALLEY
USC00046685,39.7538,-121.6241,PARADISE
USC00049351,39.8056,-120.1858,VINTON
USC00047085,39.8053,-120.4719,PORTOLA
USC00042402,39.8716,-121.6108,DE SABLA
USC00042506,39.9717,-120.0828,DOYLE 4 SSE
USC00041497,40.1705,-121.0886,CANYON DAM
USC00041700,40.3033,-121.2422,CHESTER
USC00045679,40.3458,-121.6091,MINERAL
USC00045311,40.54111,-121.57667000000001,MANZANITA LAKE
USC00049621,40.6116,-122.528,WHISKEYTOWN RESERVOIR
USC00048135,40.7141,-122.4161,SHASTA DAM
USC00049026,40.7263,-122.7947,TRINITY RIVER HATCHERY
USC00042574,41.1833,-122.2736,DUNSMUIR TREATMENT PL
USC00044374,41.2683,-120.2947,JESS VALLEY
USC00045449,41.2514,-122.1383,MC CLOUD
USC00041316,41.3111,-122.8044,CALLAHAN
USC00044838,41.7019,-121.5011,LAVA BEDS NAT MON
USW00024286,41.78028,-124.23667,CRESCENT CITY MCNAMARA AP
USC00043157,41.8715,-120.1574,FORT BIDWELL
USC00049053,41.96,-121.4744,TULELAKE
USC00040521,34.8927,-117.0219,BARSTOW
USC00046773,34.5025,-117.8969,PEARBLOSSOM
USC00045360,38.4916,-122.1241,MARKLEY COVE
USC00044881,37.9567,-119.1194,LEE VINING
USC00046174,38.0047,-120.4863,NEW MELONES DAM HQ
USC00045802,36.5927,-121.8555,MONTEREY WFO
USW00053119,36.31889,-119.62889,HANFORD MUNICIPAL AP
USW00053120,33.0375,-116.91583,RAMONA AIRPORT
USW00093241,38.3775,-121.9575,VACAVILLE NUT TREE AP
USW00093242,36.98778,-120.11056,MADERA MUNICIPAL AP
USC00040444,35.4186,-119.0508,BAKERSFIELD 5 NW
USW00053121,33.21944,-117.34944,OCEANSIDE MUNICIPAL AP
USW00024283,40.97806,-124.10861,ARCATA EUREKA AP
USW00024257,40.5175,-122.2986,REDDING MUNICIPAL AP
USW00023273,34.8994,-120.4486,SANTA MARIA PUBLIC AP
USW00024215,41.3325,-122.33278,MOUNT SHASTA
USW00024216,40.17861,-122.22972,RED BLUFF HWY 99E BRDG
USW00024216,40.1519,-122.2536,RED BLUFF MUNICIPAL AP
USW00023179,34.7675,-114.6188,NEEDLES AP
USC00048702,40.4167,-120.6631,SUSANVILLE 2SW
USW00023152,34.20056,-118.3575,BURBANK GLENDALE PASADENA AP
USW00023277,36.93583,-121.78861,WATSONVILLE MUNICIPAL AP
USW00023213,38.5038,-122.8102,SANTA ROSA SONOMA CO AP
USW00093134,34.0236,-118.2911,LOS ANGELES DOWNTOWN/USC
USW00093193,36.73333,-119.81667,FRESNO CHANDLER DOWNTOWN AP
USW00093193,36.78,-119.7194,FRESNO YOSEMITE INT'L
USW00023259,36.58806,-121.84528,MONTEREY PENINSUL AP
USW00093209,35.6,-120.65,PASO ROBLES CAA AIRPORT
USW00093209,35.6697,-120.6283,PASO ROBLES MUNICIPAL AP
USW00024259,41.78139,-122.46806,MONTAGUE SISKIYOU AIRPORT
USW00023293,37.3591,-121.924,SAN JOSE
USW00023293,37.35917,-121.92417,SAN JOSE INTL AP
USW00093138,33.8222,-116.5043,PALM SPRINGS REGIONAL AP
USW00003178,32.57222,-116.97944,SAN DIEGO BROWN FIELD
USW00093193,36.73333,-119.8,FRESNO
USW00003164,32.6261,-116.4681,CAMPO ASOS
USW00023066,39.1342,-108.54,GRAND JUNCTION WALKER FIELD
USW00003013,38.07,-102.68806,LAMAR MUNICIPAL AP
USW00003017,39.8328,-104.6575,DENVER INTL AP
USC00050848,39.9919,-105.2667,BOULDER
USC00051294,38.4599,-105.2255,CANON CITY
USC00051528,39.2202,-105.2783,CHEESMAN
USC00051564,38.8221,-102.3504,CHEYENNE WELLS
USC00052184,37.6907,-106.3084,DEL NORTE 3ENE
USC00052281,39.6261,-106.0353,DILLON 1 E
USC00052446,38.4759,-102.777,EADS
USC00053038,40.2505,-103.78819,FORT MORGAN
USC00053662,38.5254,-106.9672,GUNNISON 3SW
USC00053951,37.74933,-107.095,HERMIT 8 SE
USC00054834,38.0635,-103.2152,LAS ANIMAS
USC00055322,37.1743,-105.9393,MANASSA
USC00055722,38.4858,-107.8791,MONTROSE NO 2
USC00057936,40.4883,-106.8233,STEAMBOAT SPRINGS
USC00058429,37.1787,-104.487,TRINIDAD
USC00059243,40.0715,-102.2329,WRAY
USC00053005,40.5763,-105.0857,FORT COLLINS
USC00051268,37.01029,-102.55367,CAMPO 7 S
USC00058436,37.1502,-104.5568,TRINIDAD LAKE
USC00053016,37.2309,-108.0514,FORT LEWIS
USC00055531,37.1996,-108.4893,MESA VERDE NP
USW00023070,37.26222,-104.33778,TRINIDAD PERRY STOKES AP
USC00058793,37.3822,-102.2986,WALSH 1 W
USC00058582,37.3805,-107.5812,VALLECITO DAM
USC00054934,37.3789,-107.6593,LEMON DAM
USC00055327,37.335,-108.3161,MANCOS 1SW
USC00051886,37.3444,-108.595,CORTEZ
USC00054538,37.4536,-103.322,KIM 15 NNE
USW00023061,37.4389,-105.8613,ALAMOSA SAN LUIS VALLEY REGIONAL AP
USC00055706,37.581,-106.187,MONTE VISTA 2W
USC00058781,37.6302,-104.7956,WALSENBURG 1 NW
USC00053541,37.7332,-105.5119,GREAT SAND DUNES NATIONAL PARK AND PRESERVE
USC00051458,37.70667,-106.14444,CENTER 4 SSW
USC00057050,37.722,-107.2667,RIO GRANDE RESERVOIR
USC00057450,37.8226,-107.1097,SANTA MARIA RESERVOIR
USC00057656,37.8088,-107.6633,SILVERTON
USC00057167,38.0391,-103.6932,ROCKY FORD 2 SE
USC00054770,38.0936,-102.6306,LAMAR
USC00054388,38.0634,-102.9298,JOHN MARTIN DAM
USW00023067,38.0494,-103.5122,LA JUNTA MUNICIPAL AP
USC00051539,38.115,-103.51,CHERAW 1 N
USC00058931,38.1311,-105.4661,WESTCLIFFE
USC00056131,38.2222,-103.7219,ORDWAY 2 ENE
USW00093058,38.2901,-104.4983,PUEBLO MEMORIAL AP
USC00056765,38.25971,-104.71784,PUEBLO RESERVOIR
USC00058560,38.3761,-108.7422,URAVAN
USC00058157,38.3421,-104.0567,TACONY 13 SE
USC00051713,38.4461,-106.7611,COCHETOPA CREEK
