year,median,min,max,p10,p90
1950,5.064,3.254,10.846,3.674,8.180
1951,5.942,2.453,11.244,3.050,9.021
1952,5.675,2.490,13.907,4.128,8.289
1953,5.830,2.083,11.262,3.181,8.082
1954,6.022,2.954,11.768,2.992,10.094
1955,5.374,1.685,12.033,3.137,8.886
1956,6.105,2.440,11.246,3.362,8.575
1957,6.284,2.719,13.843,4.559,8.862
1958,6.809,2.385,12.334,4.023,9.923
1959,6.210,1.972,11.104,2.950,8.498
1960,7.172,3.363,12.077,4.166,9.348
1961,6.140,2.166,12.069,2.789,9.445
1962,6.466,1.803,10.569,1.881,10.266
1963,5.766,1.485,10.836,3.115,9.620
1964,5.690,2.890,15.975,3.528,8.155
1965,7.958,2.361,12.985,4.362,9.574
1966,6.933,1.842,10.606,3.549,8.765
1967,5.678,2.454,10.629,3.354,8.532
1968,6.647,2.707,12.402,4.670,9.808
1969,5.806,2.675,11.364,3.814,8.400
1970,5.825,3.460,11.612,4.309,9.236
1971,4.918,1.417,10.137,3.239,8.608
1972,7.344,2.805,10.006,3.542,9.007
1973,6.317,1.938,13.706,4.260,10.337
1974,5.715,2.892,13.259,3.960,10.020
1975,6.815,1.714,14.045,4.173,11.606
1976,6.652,1.663,13.050,4.944,9.289
1977,5.562,2.895,10.243,3.430,9.275
1978,5.889,2.142,11.510,3.181,9.608
1979,5.696,2.722,14.768,3.484,8.645
1980,6.098,1.774,9.464,3.573,8.685
1981,5.317,2.856,11.124,3.399,9.362
1982,6.500,2.030,10.384,2.714,8.918
1983,6.667,3.086,15.550,3.471,10.466
1984,6.294,2.633,12.098,4.182,7.950
1985,5.715,3.374,10.670,4.073,8.863
1986,6.504,1.060,14.541,3.018,11.723
1987,7.116,3.620,10.973,4.836,8.851
1988,6.654,0.901,11.472,4.421,9.362
1989,7.419,2.786,9.876,4.855,9.122
1990,7.010,4.829,11.963,4.926,8.851
1991,6.030,1.597,9.971,2.069,8.356
1992,6.687,1.857,11.930,3.234,8.778
1993,6.396,1.857,12.179,2.837,10.254
1994,5.713,1.664,15.633,2.542,7.478
1995,5.945,1.795,10.727,3.802,7.856
1996,7.386,1.293,13.080,3.212,9.347
1997,6.138,4.256,9.948,4.736,9.791
1998,6.310,2.239,11.583,4.205,9.382
1999,7.276,3.056,10.248,3.540,9.345
2000,6.128,2.541,11.454,4.150,10.721
2001,7.913,3.728,16.099,4.451,11.261
2002,6.565,2.332,13.923,4.068,10.199
2003,5.805,0.698,13.910,3.708,8.775
2004,7.061,3.288,12.568,4.369,10.830
