year,median,min,max,p10,p90
1950,106.032,75.929,126.085,92.732,113.439
1951,104.316,78.028,133.250,92.031,124.918
1952,104.498,81.236,128.614,92.953,118.674
1953,106.251,81.526,130.256,92.103,122.482
1954,105.574,87.892,138.864,89.086,125.273
1955,113.840,89.185,136.193,93.693,122.298
1956,110.244,84.077,128.263,91.839,126.124
1957,99.822,86.901,133.374,87.986,122.567
1958,101.341,83.593,131.956,88.513,120.601
1959,107.635,86.279,127.387,93.413,124.513
1960,100.790,81.021,119.630,84.057,117.942
1961,110.414,65.563,135.332,96.960,123.034
1962,108.325,84.372,124.714,94.223,122.460
1963,112.296,91.439,136.520,94.408,125.848
1964,108.931,66.626,138.753,84.560,124.868
1965,110.929,96.957,135.772,102.096,130.112
1966,103.154,82.282,136.664,90.185,127.103
1967,108.878,82.843,124.828,88.916,121.793
1968,112.949,85.529,138.717,96.641,124.987
1969,111.559,65.551,136.066,93.394,119.953
1970,106.499,81.355,122.896,89.458,119.213
1971,110.298,87.182,133.461,96.527,123.767
1972,104.826,87.056,118.276,93.836,114.489
1973,100.767,86.747,123.390,93.465,122.491
1974,107.599,59.490,122.890,88.446,118.103
1975,110.892,80.019,127.971,83.433,125.818
1976,107.436,63.490,139.860,82.696,124.188
1977,107.959,83.889,136.409,92.931,120.749
1978,104.910,91.686,127.932,94.233,116.623
1979,96.682,68.603,123.574,81.625,116.763
1980,105.275,88.191,131.478,90.434,121.256
1981,103.127,66.015,128.780,79.478,117.119
1982,101.117,79.672,121.893,84.992,112.384
1983,106.304,78.368,123.278,91.732,121.510
1984,105.879,72.802,128.892,88.672,115.567
1985,105.279,76.415,130.340,94.104,116.112
1986,99.454,73.997,129.236,80.996,114.139
1987,98.124,85.201,121.389,85.705,117.640
1988,104.856,83.268,125.101,92.338,119.343
1989,94.751,82.007,137.481,86.768,115.829
1990,101.771,76.275,126.006,85.781,123.928
1991,98.530,61.832,127.941,79.351,112.515
1992,110.730,78.479,129.024,90.090,126.641
1993,102.164,86.639,127.222,90.975,116.980
1994,104.522,78.664,121.595,81.206,119.375
1995,101.757,85.131,117.906,85.290,117.759
1996,99.356,72.595,124.109,82.601,118.522
1997,102.064,73.994,117.512,78.850,114.949
1998,96.965,79.480,113.313,82.853,111.502
1999,94.049,82.266,111.894,84.315,110.959
2000,101.714,76.247,121.394,80.079,114.931
2001,99.200,67.092,116.582,82.589,112.883
2002,95.867,76.442,120.586,85.090,109.276
2003,104.930,55.328,116.762,80.266,114.099
2004,101.157,72.187,121.229,87.063,113.519
