year,median,min,max,p10,p90
1950,3.501,3.060,4.408,3.094,3.917
1951,3.229,2.570,4.593,2.765,4.136
1952,3.342,2.888,4.643,2.940,4.002
1953,3.187,2.663,4.558,2.752,3.808
1954,3.487,2.900,4.237,2.993,4.221
1955,3.194,2.549,4.386,2.862,3.778
1956,3.319,2.405,4.402,2.610,3.971
1957,3.418,2.594,4.981,2.961,4.187
1958,3.568,2.843,4.235,2.984,4.042
1959,3.292,2.486,4.438,2.824,3.902
1960,3.756,2.900,4.508,3.023,4.341
1961,3.359,2.510,4.377,2.707,4.042
1962,3.549,2.288,4.315,2.615,4.063
1963,3.400,2.301,4.384,2.732,4.140
1964,3.424,2.728,4.825,3.012,3.837
1965,3.613,2.310,4.665,2.919,4.041
1966,3.471,2.551,4.155,3.139,3.786
1967,3.201,2.523,3.936,2.783,3.803
1968,3.458,2.653,4.369,2.954,4.110
1969,3.356,2.621,4.965,2.900,4.013
1970,3.566,2.713,4.451,2.817,3.977
1971,3.383,2.356,4.094,2.665,3.814
1972,3.467,2.532,4.508,2.814,3.848
1973,3.371,2.715,4.320,2.863,4.082
1974,3.502,2.435,4.483,2.922,4.163
1975,3.766,2.651,4.600,2.916,4.107
1976,3.452,2.531,4.502,3.134,4.209
1977,3.197,2.697,4.588,2.795,3.935
1978,3.449,2.886,4.528,3.007,4.040
1979,3.336,2.504,4.455,2.934,3.908
1980,3.475,2.434,4.040,2.806,3.982
1981,3.423,2.452,4.137,2.797,3.773
1982,3.412,2.510,4.319,3.103,4.239
1983,3.421,2.133,5.089,2.800,4.168
1984,3.550,2.886,4.410,2.901,4.053
1985,3.490,2.757,4.107,2.758,4.034
1986,3.437,2.714,4.874,2.839,4.202
1987,3.478,2.701,4.617,3.009,4.105
1988,3.478,2.210,4.393,3.063,4.064
1989,3.641,2.874,4.754,3.166,4.052
1990,3.564,2.921,4.756,3.013,4.016
1991,3.262,2.730,4.260,3.040,3.954
1992,3.546,2.217,4.434,2.975,3.987
1993,3.549,2.516,3.967,2.744,3.901
1994,3.305,2.264,4.468,2.564,3.951
1995,3.549,2.602,4.491,2.942,4.107
1996,3.600,2.450,4.735,2.888,4.360
1997,3.396,2.699,4.380,2.976,3.992
1998,3.474,2.859,4.078,2.963,3.937
1999,3.608,2.889,4.318,3.009,4.015
2000,3.558,2.840,4.234,3.015,3.862
2001,3.853,2.927,5.536,3.039,4.176
2002,3.524,2.609,4.302,2.977,4.144
2003,3.277,2.439,5.101,2.708,3.728
2004,3.520,2.426,4.341,3.120,4.086
2005,3.600,2.651,4.343,3.213,4.235
