year,days_tmax_abv
1950,0.0
1951,0.032739624
1952,3.5289037
1953,0.18402816
1954,0.49362868
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,0.0034171303
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0068342607
1965,0.0
1966,0.0
1967,0.0
1968,0.017085653
1969,0.0034171303
1970,0.010251391
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.010251391
1978,0.010251391
1979,0.0
1980,0.6049745
1981,0.0
1982,0.0
1983,1.6984142
1984,0.0
1985,0.0
1986,0.13292703
1987,0.0919401
1988,0.23417756
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.544583
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.013668521
1999,0.09877436
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,0.0
