year,pr
1949,4.2213316
1950,3.3469403
1951,3.018489
1952,3.033727
1953,2.9624965
1954,3.2685704
1955,3.0683782
1956,3.4391713
1957,4.375817
1958,3.2273939
1959,3.9138772
1960,3.4090598
1961,4.1848865
1962,3.5903633
1963,2.9975226
1964,4.4251475
1965,3.2021177
1966,3.573941
1967,3.8600385
1968,2.992225
1969,3.4679034
1970,2.7098114
1971,3.4238544
1972,3.6567905
1973,4.013339
1974,3.7224429
1975,4.142757
1976,3.4504366
1977,3.8047855
1978,2.9772308
1979,4.55671
1980,2.8734882
1981,2.4775648
1982,3.566753
1983,3.9125881
1984,3.1667967
1985,2.9126413
1986,2.5355165
1987,3.0915954
1988,2.3246448
1989,4.3405924
1990,4.1564865
1991,3.3642135
1992,4.032186
1993,3.0599637
1994,4.189171
1995,4.139279
1996,3.8200114
1997,3.5625203
1998,3.6012444
1999,3.065562
2000,3.068138
2001,2.8770597
2002,3.4628031
2003,4.466739
2004,4.5891175
2005,3.9520354
2006,3.7857943
2007,2.6066194
2008,3.0458663
2009,4.7068095
