year,tasmax
1949,19.174892
1950,18.48388
1951,18.725239
1952,19.261646
1953,19.634901
1954,18.962738
1955,18.612402
1956,18.845287
1957,18.715998
1958,17.44893
1959,18.68388
1960,17.482454
1961,17.957935
1962,18.11859
1963,17.924084
1964,18.391497
1965,18.756042
1966,17.489634
1967,17.963562
1968,17.727427
1969,17.409191
1970,18.791113
1971,18.623838
1972,18.277132
1973,18.822872
1974,19.214287
1975,19.289963
1976,18.44893
1977,18.50434
1978,18.52869
1979,17.866215
1980,18.492432
1981,17.971846
1982,18.596655
1983,17.779085
1984,18.556915
1985,18.531364
1986,19.34849
1987,18.639324
1988,18.313305
1989,18.014961
1990,19.79281
1991,18.807558
1992,17.652882
1993,18.270369
1994,18.387358
1995,18.093744
1996,17.709879
1997,17.76733
1998,19.587353
1999,19.256666
2000,18.469263
2001,18.868824
2002,19.020359
2003,18.160782
2004,18.489393
2005,18.49979
2006,19.047613
2007,19.588161
2008,18.493755
2009,17.789534
