year,tasmin
1949,6.490245
1950,5.6801825
1951,4.956155
1952,5.0836563
1953,5.4852395
1954,5.3414783
1955,5.5499325
1956,6.0073814
1957,6.459807
1958,5.116492
1959,5.984263
1960,5.0396376
1961,5.464178
1962,5.555156
1963,4.3019114
1964,5.220803
1965,5.4611397
1966,4.9844313
1967,4.8417287
1968,4.460784
1969,4.9277525
1970,5.391027
1971,5.9901333
1972,5.5227942
1973,6.0992827
1974,5.8654084
1975,5.9062753
1976,4.3838916
1977,5.5413327
1978,4.835562
1979,5.3396344
1980,5.20229
1981,4.562886
1982,5.794965
1983,4.590519
1984,5.743666
1985,6.2003775
1986,6.6869674
1987,6.0926766
1988,5.112738
1989,6.469447
1990,7.4031
1991,7.2918267
1992,6.229801
1993,6.1991134
1994,6.3411083
1995,6.14197
1996,5.755024
1997,5.7421746
1998,7.3747234
1999,6.462355
2000,5.8530693
2001,6.2718163
2002,6.820643
2003,6.2030687
2004,6.9319167
2005,6.514357
2006,6.41069
2007,6.37992
2008,5.554473
2009,6.000659
