year,rcp45median,rcp45min,rcp45max,rcp45p10,rcp45p90,rcp85median,rcp85min,rcp85max,rcp85p10,rcp85p90
2006,402.760,295.414,611.462,337.414,504.737,394.045,327.261,506.777,348.006,466.502
2007,417.275,315.529,534.001,337.572,507.798,415.294,292.182,553.657,338.991,524.714
2008,417.648,275.340,594.686,349.616,493.189,417.508,330.164,554.972,369.288,473.708
2009,371.226,286.273,496.011,339.375,460.986,395.662,300.670,490.871,344.512,449.777
2010,434.822,328.248,476.523,360.507,472.923,405.805,300.738,580.137,316.195,541.948
2011,432.220,324.365,626.934,339.040,530.201,460.991,291.717,552.637,372.295,502.962
2012,408.724,307.873,549.797,378.889,490.562,457.911,329.330,646.241,372.529,545.574
2013,441.896,297.742,545.226,360.003,531.523,444.579,331.561,613.614,345.707,524.138
2014,448.237,380.476,564.736,401.389,529.582,448.004,292.765,616.029,381.616,507.885
2015,419.630,340.057,550.862,366.674,528.142,414.727,294.184,619.498,320.083,545.616
2016,435.265,328.596,613.318,379.216,548.646,457.403,255.643,542.314,333.051,521.683
2017,419.111,336.746,624.496,377.328,549.521,478.037,310.822,649.133,384.353,540.716
2018,442.042,317.433,573.784,355.466,516.777,487.016,325.110,655.173,419.153,562.866
2019,425.597,366.031,566.990,374.415,531.461,501.313,370.222,657.037,415.063,576.954
2020,482.572,349.318,609.842,386.819,541.682,459.188,325.209,645.416,368.761,595.811
2021,465.463,340.412,589.681,382.910,560.193,496.984,317.155,605.931,402.141,574.065
2022,433.351,350.757,551.668,368.571,499.780,484.620,287.408,585.738,387.367,560.952
2023,452.113,354.107,561.696,382.225,552.053,522.024,392.213,829.207,405.723,550.028
2024,461.535,308.645,581.020,382.264,521.680,504.295,363.182,634.668,376.719,613.554
2025,481.714,337.288,611.877,350.401,597.547,475.432,272.432,666.605,403.909,565.046
2026,508.566,391.942,701.390,449.490,583.733,484.660,316.093,602.845,404.397,568.252
2027,523.317,367.462,654.098,418.975,594.909,501.516,375.641,631.301,416.327,590.695
2028,520.371,365.726,603.075,439.212,548.242,545.086,404.287,646.355,456.545,607.704
2029,505.656,347.960,677.306,396.631,607.045,512.072,262.841,642.564,426.404,610.069
2030,481.101,396.449,582.562,426.344,571.846,527.679,425.494,666.534,499.852,598.634
2031,479.360,378.797,782.785,404.514,580.799,508.246,398.498,750.367,444.566,623.756
2032,541.479,406.236,651.346,446.477,582.083,518.826,361.642,739.465,422.048,650.689
2033,522.968,360.524,657.168,453.865,635.414,557.250,385.611,745.617,420.958,648.980
2034,539.543,362.084,640.101,484.098,603.330,549.874,374.446,708.323,417.110,633.160
2035,553.073,428.156,618.445,459.183,608.501,575.760,413.270,674.897,506.208,633.152
2036,551.121,356.372,671.024,410.966,648.024,581.729,369.407,755.124,427.952,699.881
2037,525.112,386.070,680.759,413.117,588.171,579.910,415.045,730.998,508.225,720.715
2038,548.523,423.781,669.748,482.851,631.821,586.391,258.009,746.745,460.390,719.775
2039,546.484,461.676,783.423,487.067,609.722,588.736,373.116,840.075,503.092,750.387
2040,576.928,408.688,757.189,463.098,671.761,607.595,432.662,725.764,503.774,709.467
2041,563.532,374.191,739.760,506.255,626.898,573.824,335.762,777.729,519.496,690.397
