month,mean30,max,median,min,p10,p90
1,7.038,14.478,7.276,0.650,4.789,11.219
2,8.973,15.572,9.877,3.502,6.993,12.166
3,13.880,18.031,13.806,5.189,10.953,16.392
4,19.072,22.037,18.867,14.860,16.904,21.308
5,22.948,26.940,23.167,20.050,21.310,24.890
6,26.316,30.676,26.560,23.347,24.706,27.921
7,27.793,31.057,27.846,25.071,26.484,29.370
8,27.287,30.689,27.453,24.474,26.150,29.013
9,24.086,28.160,24.059,21.741,22.755,25.864
10,19.230,22.589,19.305,15.648,17.636,21.055
11,13.858,18.187,13.713,9.964,11.599,16.405
12,8.943,14.673,8.996,3.508,6.193,11.568
