month,2025rcp45_max,2025rcp45_median,2025rcp45_min,2025rcp45_p10,2025rcp45_p90,2025rcp85_max,2025rcp85_median,2025rcp85_min,2025rcp85_p10,2025rcp85_p90,2050rcp45_max,2050rcp45_median,2050rcp45_min,2050rcp45_p10,2050rcp45_p90,2050rcp85_max,2050rcp85_median,2050rcp85_min,2050rcp85_p10,2050rcp85_p90,2075rcp45_max,2075rcp45_median,2075rcp45_min,2075rcp45_p10,2075rcp45_p90,2075rcp85_max,2075rcp85_median,2075rcp85_min,2075rcp85_p10,2075rcp85_p90
1,4.066,3.414,2.886,2.937,3.840,4.308,3.413,2.908,3.108,3.850,3.907,3.521,3.070,3.202,3.798,4.234,3.401,3.012,3.201,4.045,4.185,3.550,3.000,3.200,4.048,4.804,3.669,2.584,3.304,4.047
2,4.600,3.710,3.314,3.469,4.182,4.569,3.868,3.443,3.450,4.276,4.854,4.092,3.527,3.695,4.474,4.763,4.364,3.317,3.545,4.683,4.769,4.128,3.353,3.598,4.743,5.290,4.203,2.997,3.674,5.067
3,4.616,4.256,4.049,4.080,4.511,5.195,4.254,3.785,3.962,4.610,5.203,4.481,3.636,3.888,4.844,5.223,4.503,3.459,4.083,5.197,5.256,4.380,3.577,4.057,5.011,5.455,4.784,3.732,3.891,5.277
4,4.294,3.619,2.900,3.373,3.886,4.242,3.868,3.082,3.385,4.118,4.189,3.690,3.303,3.398,4.017,4.296,3.684,2.835,3.319,4.164,4.637,3.872,3.294,3.360,4.231,5.150,3.947,3.092,3.291,4.362
5,3.957,3.529,2.587,3.170,3.913,4.157,3.559,2.856,3.105,3.949,4.478,3.557,3.041,3.087,4.030,3.923,3.587,2.824,3.072,3.890,4.516,3.577,2.788,3.066,4.246,4.462,3.540,2.801,2.930,4.308
6,4.200,3.880,3.343,3.492,4.119,4.525,3.815,2.853,3.465,4.317,4.558,3.930,3.122,3.303,4.214,4.783,3.811,3.285,3.409,4.341,4.600,3.945,3.383,3.424,4.309,4.659,3.849,2.933,3.101,4.419
7,4.908,4.080,3.491,3.571,4.233,4.528,4.146,3.348,3.688,4.466,4.707,4.028,3.033,3.600,4.483,4.800,3.922,3.298,3.496,4.424,4.808,4.103,3.279,3.778,4.559,4.955,4.130,3.266,3.684,4.569
8,4.361,3.822,2.798,2.930,4.183,4.314,3.656,3.008,3.126,3.937,4.528,3.563,2.695,3.379,4.239,5.100,3.719,2.559,3.244,4.521,4.835,3.687,2.873,3.233,4.307,5.325,3.810,2.688,2.947,4.924
9,4.770,3.808,2.771,2.956,4.295,4.446,3.738,2.642,3.004,4.252,4.997,3.747,2.819,3.175,4.254,5.106,3.922,2.332,3.326,4.713,4.724,3.930,3.061,3.479,4.376,5.845,4.043,2.311,3.363,4.798
10,4.226,3.215,2.310,2.508,3.785,3.801,3.054,2.293,2.525,3.648,4.379,3.285,2.090,2.875,3.504,3.972,3.146,2.163,2.787,3.705,3.859,3.234,2.018,2.906,3.576,3.978,3.207,2.258,2.766,3.582
11,3.526,3.063,2.555,2.744,3.411,3.696,3.160,2.448,2.786,3.467,4.213,3.130,2.703,2.845,3.732,3.744,3.206,2.490,2.694,3.431,4.119,3.098,2.467,2.742,3.760,4.063,3.114,2.661,2.775,3.522
12,4.362,3.259,2.862,2.998,3.665,3.872,3.399,2.581,2.957,3.705,4.025,3.349,2.886,3.048,3.653,3.809,3.294,2.373,2.895,3.773,3.901,3.461,2.903,3.132,3.779,4.337,3.618,2.087,3.019,4.066
