year,median,min,max,p10,p90
1950,4.515,2.943,5.127,3.819,5.023
1951,4.523,3.395,5.409,3.802,5.215
1952,4.360,3.361,5.293,3.842,4.897
1953,4.564,3.247,5.044,4.163,4.945
1954,4.424,3.811,5.322,3.977,5.030
1955,4.446,3.406,4.960,3.704,4.802
1956,4.377,3.319,5.068,3.855,4.764
1957,4.400,3.019,5.486,3.712,5.058
1958,4.299,3.290,5.309,3.667,5.114
1959,4.407,3.646,5.339,3.955,5.111
1960,4.399,3.344,5.301,3.799,4.967
1961,4.619,3.993,5.371,4.059,5.275
1962,4.548,3.809,5.067,3.977,4.999
1963,4.575,3.393,5.717,3.793,5.203
1964,4.179,3.219,4.923,3.405,4.558
1965,4.206,3.075,5.410,3.576,4.891
1966,4.117,3.337,4.670,3.697,4.545
1967,4.275,2.881,5.574,3.405,4.746
1968,4.074,3.226,4.941,3.551,4.497
1969,4.179,3.698,5.533,3.939,4.870
1970,4.343,3.221,5.711,3.732,4.974
1971,4.393,2.797,5.380,3.800,5.113
1972,4.317,3.123,5.212,3.613,4.830
1973,4.454,3.526,5.051,3.729,4.901
1974,4.267,2.790,5.239,3.576,4.936
1975,4.540,3.633,5.382,3.883,5.209
1976,4.518,3.360,5.597,3.666,5.081
1977,4.519,3.703,5.351,4.124,5.216
1978,4.646,3.353,5.340,3.889,4.996
1979,4.505,3.179,5.507,3.986,5.269
1980,4.626,3.559,5.249,3.741,5.148
1981,4.380,3.801,5.733,3.858,5.273
1982,4.414,3.623,5.185,3.945,4.960
1983,4.553,3.153,5.181,3.832,5.049
1984,4.443,3.571,5.382,3.844,5.134
1985,4.455,3.638,5.208,4.060,5.006
1986,4.923,3.503,5.324,4.167,5.292
1987,4.575,3.942,5.612,4.058,5.011
1988,4.907,3.559,5.425,4.287,5.242
1989,4.721,3.861,5.505,4.056,5.264
1990,4.559,3.880,5.677,4.078,5.154
1991,4.921,3.984,5.845,4.357,5.470
1992,4.448,3.742,5.444,3.922,5.305
1993,4.594,3.843,5.618,4.021,5.207
1994,4.494,3.536,5.776,4.054,5.015
1995,4.669,3.285,5.881,3.689,5.113
1996,4.548,3.864,5.886,4.191,5.515
1997,4.980,3.833,6.146,4.161,5.649
1998,5.052,3.851,6.099,4.574,5.369
1999,4.977,4.055,5.804,4.330,5.597
2000,4.940,4.364,6.643,4.598,5.406
2001,4.933,4.217,5.546,4.511,5.517
2002,5.137,4.058,6.392,4.563,5.913
2003,4.971,3.779,6.368,4.364,5.652
2004,5.099,4.005,5.973,4.439,5.844
2005,5.191,4.117,6.361,4.612,5.625
