year,days_prcp_abv
1950,20.31671
1951,17.808401
1952,7.7724733
1953,17.286964
1954,14.636812
1955,16.185024
1956,13.176294
1957,12.1486025
1958,14.278252
1959,12.052189
1960,13.509857
1961,17.64481
1962,11.206299
1963,13.429024
1964,17.61967
1965,15.983778
1966,15.700295
1967,14.330081
1968,19.97649
1969,14.631332
1970,24.508976
1971,24.159561
1972,17.65821
1973,21.992039
1974,24.441376
1975,16.905403
1976,11.840112
1977,16.965723
1978,8.76405
1979,16.425423
1980,17.044144
1981,19.429295
1982,24.465595
1983,22.896389
1984,15.581492
1985,9.397923
1986,18.006186
1987,16.011652
1988,14.099847
1989,7.2332273
1990,15.759853
1991,14.306532
1992,12.7364435
1993,11.466248
1994,12.437176
1995,27.295156
1996,33.60473
1997,17.542604
1998,22.46625
1999,29.743706
2000,8.6993065
2001,11.888312
2002,21.297113
2003,16.065187
2004,9.187011
2005,16.632612
2006,26.954771
