year,rcp45median,rcp45min,rcp45max,rcp45p10,rcp45p90,rcp85median,rcp85min,rcp85max,rcp85p10,rcp85p90
2006,1.358,0.000,9.234,0.000,4.731,0.682,0.000,5.407,0.000,2.064
2007,1.275,0.000,7.520,0.000,2.914,1.495,0.000,10.467,0.000,4.038
2008,1.136,0.000,8.988,0.000,5.834,1.106,0.000,7.972,0.266,6.024
2009,1.126,0.000,6.921,0.000,2.811,0.810,0.000,3.403,0.014,2.732
2010,0.563,0.000,4.747,0.000,2.671,0.857,0.000,4.276,0.055,2.838
2011,1.081,0.000,6.566,0.073,2.465,1.034,0.000,7.164,0.000,3.148
2012,1.215,0.000,7.857,0.000,4.042,2.191,0.000,10.462,0.000,4.354
2013,0.476,0.000,5.948,0.000,2.752,1.272,0.000,3.249,0.000,2.639
2014,1.495,0.000,6.865,0.118,4.198,1.782,0.000,10.388,0.596,4.639
2015,1.433,0.000,5.259,0.088,4.138,1.829,0.139,8.795,0.182,5.276
2016,1.216,0.085,5.929,0.167,2.860,1.321,0.000,11.028,0.055,4.080
2017,1.023,0.000,5.516,0.000,3.638,1.803,0.000,5.044,0.021,4.751
2018,2.214,0.000,6.678,0.556,4.431,0.674,0.000,5.676,0.000,4.518
2019,0.712,0.000,3.585,0.076,2.504,1.127,0.000,3.074,0.085,2.596
2020,0.395,0.000,4.206,0.000,2.824,2.062,0.000,8.533,0.014,5.064
2021,0.843,0.000,5.144,0.000,3.503,1.798,0.000,10.828,0.000,5.876
2022,1.561,0.000,8.070,0.000,4.995,0.760,0.000,5.894,0.000,3.363
2023,1.611,0.000,6.942,0.063,3.825,1.973,0.000,6.359,0.533,3.981
2024,1.341,0.000,9.720,0.149,3.670,1.554,0.174,11.776,0.196,3.226
2025,1.223,0.000,7.228,0.000,4.224,1.627,0.000,5.410,0.076,4.526
2026,2.398,0.000,11.048,0.355,7.083,2.343,0.021,5.147,0.161,4.290
2027,1.601,0.000,5.117,0.000,3.888,2.631,0.000,8.171,0.118,6.015
2028,0.694,0.000,5.010,0.019,2.928,1.934,0.000,6.337,0.000,5.278
2029,2.549,0.000,8.380,0.000,6.015,1.868,0.237,7.269,0.405,5.783
2030,1.225,0.000,12.122,0.000,5.275,1.734,0.334,10.207,0.784,5.426
2031,1.163,0.000,5.376,0.134,4.244,2.677,0.000,6.887,0.189,5.534
2032,2.377,0.021,6.920,0.232,4.814,2.128,0.076,11.430,0.266,6.272
2033,2.538,0.000,5.144,0.154,4.718,1.280,0.000,14.808,0.091,6.966
2034,1.100,0.000,8.818,0.174,5.994,1.992,0.000,8.532,0.070,7.634
2035,0.970,0.000,8.534,0.156,5.377,3.237,0.014,18.083,0.091,7.995
2036,3.028,0.000,8.010,0.156,4.619,2.376,0.000,6.315,0.266,4.975
2037,3.102,0.076,9.853,0.377,5.997,1.509,0.104,13.496,0.163,7.322
2038,1.808,0.000,6.062,0.000,5.190,2.803,0.175,14.015,0.697,11.316
2039,0.710,0.000,7.108,0.069,6.745,4.464,0.132,10.985,0.540,10.273
2040,2.231,0.000,8.791,0.215,6.763,2.470,0.260,9.897,0.314,8.612
2041,2.032,0.000,8.286,0.328,5.391,2.569,0.000,13.570,0.487,10.495
2042,1.882,0.118,6.346,0.161,5.705,3.082,0.054,6.744,0.714,6.073
2043,2.131,0.000,10.547,0.431,5.624,4.967,0.000,13.310,0.249,8.997
2044,3.614,0.090,16.087,0.327,8.657,2.766,0.000,9.459,0.260,6.174
2045,1.172,0.000,14.538,0.094,5.755,4.291,0.673,12.477,1.324,7.708
2046,1.714,0.000,11.187,0.069,5.060,4.152,0.153,11.785,0.422,10.191
2047,2.160,0.000,10.153,0.063,7.093,3.869,0.000,18.366,0.312,8.237
2048,2.629,0.278,10.467,0.714,6.220,3.523,0.000,9.551,0.924,8.889
2049,1.843,0.000,9.222,0.171,8.987,4.513,0.000,10.283,0.520,9.377
2050,3.747,0.000,12.329,0.382,7.554,3.254,0.000,22.454,0.739,13.717
2051,3.416,0.131,11.433,0.530,9.108,5.544,0.184,13.788,2.545,8.641
2052,2.715,0.085,12.255,0.602,7.589,6.003,0.415,16.355,0.718,12.472
2053,4.343,0.000,14.602,1.329,7.864,5.296,0.379,16.813,1.595,15.034
2054,4.547,0.918,11.359,1.411,7.418,4.992,0.021,17.178,0.927,13.786
2055,3.773,0.519,10.696,1.960,7.873,6.069,0.597,18.814,2.076,11.739
2056,2.445,0.021,12.038,1.177,9.656,6.967,2.544,13.541,3.690,12.153
2057,3.666,0.000,10.035,0.340,8.822,4.469,0.971,23.855,2.221,13.699
2058,3.474,0.000,11.795,0.859,8.033,4.301,0.090,14.952,1.399,12.187
2059,2.466,0.014,7.938,0.184,6.034,5.862,1.104,12.210,1.736,11.628
2060,4.093,0.000,8.134,0.322,6.341,8.508,0.000,21.237,3.214,15.006
2061,3.520,0.146,18.670,1.153,9.796,5.321,0.076,25.547,1.177,9.303
2062,3.998,0.000,20.699,0.815,9.242,5.277,0.090,21.959,2.939,13.759
2063,3.178,0.014,10.075,0.845,8.697,4.719,0.339,22.033,2.148,11.602
2064,3.461,0.008,14.247,0.483,8.147,7.457,0.000,21.621,2.263,13.677
2065,3.103,0.000,12.400,0.138,9.076,9.175,3.146,23.780,3.792,19.107
2066,3.955,0.425,10.842,0.956,7.752,7.473,4.081,26.929,5.245,20.461
2067,2.121,0.160,20.830,0.631,6.185,8.547,0.256,32.673,2.797,21.513
2068,3.716,0.000,8.485,1.267,7.192,9.384,0.187,25.794,3.226,16.005
2069,4.289,0.000,24.395,0.661,9.830,8.452,0.688,16.884,4.818,15.431
2070,5.060,0.521,11.930,1.009,9.620,7.444,1.855,19.143,3.005,15.970
2071,6.366,0.000,18.652,2.005,11.727,10.011,1.844,23.749,3.610,20.295
2072,5.340,0.104,14.298,0.429,9.802,12.020,1.048,32.791,2.965,24.794
2073,5.388,0.222,12.828,1.894,11.992,10.178,2.424,25.991,3.685,20.005
2074,2.244,0.085,26.046,0.732,10.363,8.196,2.596,13.536,3.259,10.763
2075,4.289,0.624,11.399,1.470,9.778,8.414,2.368,31.900,3.573,17.097
2076,3.863,1.009,16.153,1.076,12.335,9.328,0.909,27.152,5.985,23.004
2077,5.422,0.260,16.062,0.901,8.901,14.665,0.315,33.664,4.045,22.568
2078,3.987,0.383,25.590,0.910,12.552,12.161,2.001,39.545,4.440,20.115
2079,3.912,1.171,16.280,1.989,9.661,10.330,3.096,31.925,4.234,24.757
2080,4.927,0.000,13.510,1.794,10.236,10.466,0.648,34.869,4.250,29.030
2081,6.111,0.000,13.487,1.404,12.147,16.188,0.386,40.479,3.284,22.116
2082,3.835,0.242,13.321,0.774,10.937,13.224,3.963,27.776,6.447,21.767
2083,4.426,0.021,8.994,1.097,7.874,13.752,1.521,39.224,3.772,22.564
2084,3.988,0.542,21.627,1.715,14.168,13.163,0.308,32.615,5.334,26.259
2085,3.408,0.168,12.585,0.721,11.072,19.886,1.054,34.521,8.106,26.338
2086,4.821,0.330,13.674,1.718,9.969,16.469,2.964,47.988,7.881,23.428
2087,4.245,0.000,8.013,0.096,7.823,16.417,3.198,42.796,7.079,33.725
2088,4.414,0.000,12.860,0.163,10.647,14.223,3.549,33.326,8.089,26.319
2089,5.083,0.097,13.576,1.314,11.804,19.900,4.527,35.826,8.339,33.167
2090,4.375,0.070,18.099,0.485,9.776,21.044,3.091,41.638,10.346,32.923
2091,5.310,0.572,11.745,1.397,10.000,14.467,4.201,39.843,6.578,29.698
2092,5.695,0.021,12.049,2.010,10.973,21.307,3.462,43.013,10.510,39.243
2093,4.018,0.492,10.438,1.923,7.076,20.658,2.455,50.263,9.193,28.691
2094,5.586,1.188,17.849,1.424,9.604,16.456,0.811,51.822,4.501,36.237
2095,4.750,0.706,21.011,1.446,13.411,13.994,7.365,43.428,8.730,34.339
2096,4.442,0.889,12.904,1.774,10.705,16.501,5.513,40.818,5.765,34.466
2097,6.273,1.095,18.211,1.581,12.703,23.755,5.723,42.830,9.567,32.452
2098,6.680,0.168,21.339,0.615,16.869,21.417,4.360,56.155,7.027,36.003
2099,5.534,1.676,15.341,3.006,13.367,15.562,3.271,65.028,9.016,43.082
