year,rcp45median,rcp45min,rcp45max,rcp45p10,rcp45p90,rcp85median,rcp85min,rcp85max,rcp85p10,rcp85p90
2006,42.769,15.302,60.790,24.094,56.052,37.123,21.770,65.777,26.533,55.534
2007,46.650,14.010,95.988,30.250,60.441,45.779,15.717,66.372,30.970,60.238
2008,41.463,27.616,95.987,30.772,77.857,46.215,27.025,81.635,33.479,76.340
2009,45.439,11.999,75.218,28.116,55.594,43.937,17.566,76.551,27.936,71.653
2010,36.809,13.403,65.664,24.148,52.071,54.896,24.228,77.983,26.219,72.648
2011,34.384,20.915,59.080,23.354,54.952,42.320,20.763,85.146,28.447,69.617
2012,43.484,16.350,63.711,18.612,53.313,48.369,9.295,77.241,20.651,66.517
2013,46.175,25.671,70.052,35.898,64.739,42.894,17.761,78.895,30.099,64.339
2014,47.109,10.762,79.140,16.841,62.702,36.693,15.809,78.283,22.066,64.543
2015,42.507,15.135,68.458,25.333,60.792,39.366,26.386,74.457,27.286,71.109
2016,39.543,11.681,85.653,22.825,68.040,37.392,11.213,66.848,25.477,56.604
2017,47.304,23.268,87.415,28.378,61.649,36.480,10.888,76.696,19.027,50.698
2018,37.451,18.701,71.215,29.255,66.807,36.733,12.323,81.327,19.423,62.975
2019,37.684,10.248,66.735,26.032,61.442,37.228,16.147,82.314,22.922,61.713
2020,41.885,11.207,70.700,17.644,55.954,36.758,13.423,80.249,26.626,58.296
2021,40.339,22.299,87.176,32.749,63.471,39.067,15.980,72.911,19.539,66.800
2022,39.749,9.340,83.456,25.674,58.779,33.790,16.168,82.406,17.097,64.525
2023,33.156,15.551,61.734,20.944,58.446,34.857,8.442,64.847,21.185,52.778
2024,30.634,7.014,74.714,15.131,47.927,35.998,19.657,56.908,25.942,50.591
2025,40.970,15.793,61.591,26.897,58.455,38.277,13.876,57.636,21.886,48.467
2026,29.008,4.994,64.864,10.736,53.643,31.143,11.685,57.114,19.622,54.547
2027,36.658,10.952,84.434,19.857,65.457,30.895,6.371,58.017,19.060,54.723
2028,37.763,9.396,54.990,13.668,48.757,25.250,9.188,49.725,13.213,42.794
2029,38.405,8.691,53.581,22.182,52.377,31.016,16.699,59.339,17.107,50.769
2030,34.927,12.293,54.452,28.210,52.779,32.332,9.036,57.666,17.210,42.661
2031,38.535,10.214,78.827,16.433,50.509,40.092,14.772,57.907,17.150,55.421
2032,30.574,4.643,78.128,10.081,60.041,36.968,20.662,88.766,25.510,56.365
2033,28.757,6.633,66.725,14.808,49.530,32.349,12.574,93.164,14.575,60.406
2034,30.465,13.501,69.937,18.246,50.333,29.761,1.947,71.533,15.151,54.874
2035,33.105,13.419,75.883,17.258,55.233,29.857,6.385,56.172,16.338,48.393
2036,32.411,13.557,74.583,22.016,68.786,30.731,8.624,94.981,15.505,69.390
2037,34.009,11.260,60.026,15.906,49.719,25.678,7.519,57.414,13.594,52.688
2038,27.376,6.276,60.464,20.433,47.177,26.121,10.771,60.767,18.681,55.601
2039,34.361,14.871,64.196,19.576,52.054,26.431,4.205,78.278,9.530,40.679
2040,32.275,12.394,53.572,19.060,50.681,25.646,7.977,72.343,15.683,57.630
2041,30.560,11.322,66.486,19.336,57.907,26.155,1.249,67.253,10.097,52.011
2042,30.138,7.194,48.336,20.416,45.474,23.973,6.924,57.603,14.827,46.558
2043,33.772,7.867,91.422,17.543,60.176,26.287,4.888,56.674,18.806,51.126
2044,25.950,3.444,57.802,13.092,47.635,26.341,7.312,45.774,12.467,44.711
2045,32.570,13.487,54.745,18.382,42.309,27.082,7.668,57.057,12.961,43.677
2046,27.617,8.573,68.947,16.015,55.031,22.119,7.585,64.335,10.641,39.358
2047,29.939,6.399,48.817,9.137,47.179,26.404,3.634,79.131,10.924,61.438
2048,25.773,3.829,68.606,11.163,56.657,21.488,6.868,55.613,10.431,36.902
2049,29.598,1.393,70.179,10.919,43.887,27.273,3.087,77.560,12.295,42.265
2050,24.584,4.995,44.312,6.745,38.601,23.934,4.322,49.620,10.843,39.960
2051,29.559,1.346,41.620,14.152,40.193,20.675,4.390,51.074,7.572,36.467
2052,19.470,11.100,45.598,11.760,34.382,20.959,1.688,49.152,7.079,38.262
2053,23.675,6.692,53.740,10.768,42.146,21.546,1.972,46.517,4.735,39.735
2054,23.498,12.667,53.175,13.687,46.028,19.143,0.058,51.957,7.315,44.885
2055,25.596,8.001,56.239,12.849,38.575,22.841,4.763,45.505,7.229,40.830
2056,39.516,10.031,68.518,14.203,53.680,23.094,4.476,44.524,12.402,37.737
2057,27.807,7.950,52.008,14.593,44.019,17.087,1.275,46.123,5.198,42.347
2058,25.807,7.346,46.857,10.346,38.330,23.036,2.753,58.738,6.048,38.078
2059,19.903,1.661,46.421,10.776,39.409,13.738,0.634,44.114,2.012,36.959
2060,26.635,10.582,55.733,12.028,42.570,16.879,1.701,37.002,5.058,30.316
2061,26.319,7.945,58.922,12.290,43.526,21.362,2.790,56.456,3.983,45.953
2062,22.189,2.174,49.534,5.402,38.814,17.576,1.616,47.139,6.205,29.016
2063,27.476,3.845,61.294,9.912,49.623,18.713,3.117,41.167,5.448,35.874
2064,20.990,3.808,62.781,11.102,34.145,20.549,0.850,49.339,5.957,31.915
2065,15.737,3.625,49.446,7.425,45.176,17.124,1.070,58.638,5.088,45.265
2066,19.118,1.993,53.685,5.478,31.297,14.792,1.214,60.661,3.253,27.570
2067,20.532,8.480,53.871,12.916,35.951,14.132,0.027,42.426,0.641,36.854
2068,23.427,6.625,62.611,10.064,43.915,12.107,1.699,37.006,2.829,23.477
2069,23.714,5.891,51.101,9.713,46.696,8.419,0.346,33.908,1.742,26.406
