year,rcp45median,rcp45min,rcp45max,rcp45p10,rcp45p90,rcp85median,rcp85min,rcp85max,rcp85p10,rcp85p90
2006,2771.891,2150.504,3112.929,2389.410,3031.440,2705.855,2486.954,3096.795,2554.299,2851.149
2007,2832.461,2423.637,3068.547,2597.391,3016.908,2790.577,2335.386,3111.632,2583.745,3059.728
2008,2767.732,2647.896,3294.522,2668.538,3181.370,2837.625,2437.027,3242.072,2605.154,3039.362
2009,2699.419,2250.558,2960.128,2557.666,2900.420,2777.133,2061.551,3195.024,2567.532,2988.515
2010,2671.246,2373.936,3096.537,2447.474,2867.785,2912.591,2470.389,3058.414,2569.646,3039.061
2011,2658.698,2390.372,3090.693,2517.504,2937.573,2765.955,2486.264,3185.666,2540.238,2988.564
2012,2736.508,2446.387,2983.521,2477.851,2939.310,2856.089,2385.043,3120.202,2504.777,2962.302
2013,2755.573,2455.226,3101.391,2579.188,2928.115,2737.904,2394.225,3174.410,2593.441,2975.836
2014,2741.758,2251.805,3198.709,2522.220,2988.942,2764.981,2267.782,3187.088,2517.132,2953.699
2015,2667.837,2405.174,3042.709,2467.431,2878.584,2619.599,2253.479,3082.657,2473.012,3050.277
2016,2853.170,2412.613,3251.172,2457.035,3119.527,2667.849,2428.434,3105.099,2440.307,2865.205
2017,2747.307,2368.525,3289.559,2537.040,3063.512,2608.746,2272.607,2998.514,2376.280,2846.960
2018,2679.847,2170.256,3032.501,2466.893,2913.373,2624.421,2289.183,3134.660,2371.674,2906.898
2019,2696.856,2146.155,2986.277,2508.287,2867.967,2584.106,2374.493,3078.185,2405.011,3013.626
2020,2764.005,2305.149,3048.443,2439.261,2905.751,2640.193,2316.465,3089.224,2523.690,2939.118
2021,2692.409,2407.612,3143.504,2568.991,2937.404,2603.479,2288.726,3227.633,2477.399,3000.105
2022,2639.510,2062.635,3143.813,2422.842,2881.590,2547.986,2243.396,3177.327,2380.335,3000.067
2023,2630.948,2365.670,2982.784,2380.760,2878.441,2540.495,2256.804,2985.082,2369.827,2810.958
2024,2586.767,2245.599,3195.203,2388.568,2775.784,2654.489,2302.379,2946.178,2452.455,2852.697
2025,2673.045,2425.610,2903.122,2485.448,2833.355,2590.820,2264.646,3010.443,2385.503,2809.024
2026,2481.554,1871.607,3015.223,2268.211,2903.769,2586.132,2234.770,2955.701,2286.299,2817.856
2027,2648.169,2152.450,3194.183,2361.564,2961.176,2606.726,2293.895,2874.107,2335.532,2749.429
2028,2696.258,2259.317,2903.799,2293.960,2847.830,2506.945,1912.125,2873.326,2269.919,2669.913
2029,2555.552,2276.643,2952.228,2352.166,2872.964,2515.521,2178.604,2932.135,2239.581,2650.985
2030,2618.146,2394.694,2891.873,2444.567,2741.992,2450.854,2082.433,2857.419,2307.845,2737.674
2031,2568.944,2253.356,3047.081,2328.409,2832.256,2636.071,2191.859,3057.765,2352.358,2826.990
2032,2545.599,1953.937,3129.766,2228.854,3014.732,2628.255,2413.461,3280.725,2444.822,2851.742
2033,2518.935,2136.743,2801.421,2338.675,2770.485,2468.665,2080.898,3141.594,2287.249,2838.709
2034,2529.547,2227.333,3045.190,2285.776,2769.842,2492.065,1928.591,2972.016,2270.890,2885.081
2035,2500.946,2211.476,3099.945,2334.423,2815.840,2549.788,2060.763,2771.564,2176.974,2668.949
2036,2582.828,2237.880,2971.640,2307.187,2941.860,2517.972,2248.314,3192.010,2266.302,2885.777
2037,2475.381,2191.164,2826.088,2284.212,2780.147,2415.456,2193.141,2933.213,2278.815,2688.925
2038,2528.565,2160.561,2829.503,2288.736,2722.412,2509.818,2154.319,2872.499,2207.803,2728.778
2039,2534.280,2261.525,3068.806,2320.790,2829.575,2482.625,1991.423,2836.621,2181.238,2723.893
2040,2567.233,2143.363,2950.269,2388.934,2747.093,2390.082,2169.849,3127.433,2280.100,2816.393
2041,2556.048,2327.804,3097.220,2331.553,2807.251,2484.423,2044.868,2832.359,2176.428,2671.556
2042,2492.684,2187.564,2869.727,2245.992,2785.075,2458.602,2014.989,2858.379,2054.782,2780.576
