year,rcp45median,rcp45min,rcp45max,rcp45p10,rcp45p90,rcp85median,rcp85min,rcp85max,rcp85p10,rcp85p90
2006,16.746,15.460,18.737,15.750,17.864,17.163,15.824,17.551,16.478,17.412
2007,16.429,15.853,17.676,15.926,17.547,16.966,15.714,18.312,15.946,17.653
2008,16.836,15.295,17.325,16.094,17.173,16.507,15.545,18.090,15.637,17.825
2009,17.199,15.849,18.034,16.489,17.645,16.797,16.007,18.931,16.101,17.589
2010,17.057,15.654,18.403,16.192,17.862,16.351,15.908,17.977,16.018,17.187
2011,16.956,15.708,18.306,15.900,17.550,16.849,15.825,17.590,16.260,17.410
2012,16.794,15.971,17.974,16.089,17.724,16.712,15.444,18.044,16.088,17.521
2013,16.987,15.717,17.876,15.918,17.390,16.702,15.777,17.452,15.973,17.283
2014,16.784,15.256,18.368,16.348,17.898,16.880,15.348,18.295,16.435,17.888
2015,17.187,15.799,18.056,16.483,17.660,17.138,15.487,18.306,16.147,17.909
2016,16.390,15.247,17.875,15.824,17.559,17.012,16.429,17.984,16.491,17.711
2017,16.834,15.280,18.259,15.854,17.518,17.390,16.125,18.205,16.784,18.057
2018,17.175,16.138,18.521,16.333,18.127,17.172,15.864,18.012,16.602,17.920
2019,16.919,16.128,18.851,16.396,17.709,17.195,16.083,18.389,16.257,17.875
2020,16.962,15.997,18.600,16.271,17.654,17.159,16.184,18.300,16.457,18.115
2021,16.843,15.501,18.245,15.971,17.605,17.141,15.421,18.340,15.848,17.711
2022,17.282,16.342,18.782,16.604,18.019,17.294,15.859,18.377,16.038,18.131
2023,17.131,15.921,18.160,16.335,17.852,17.391,16.233,18.191,16.606,18.164
2024,17.344,15.571,18.478,16.721,18.097,17.237,16.234,18.400,16.523,18.103
2025,16.906,16.447,18.266,16.584,17.742,17.467,16.030,18.806,16.460,18.489
2026,17.859,15.781,19.441,16.439,18.853,17.575,16.330,18.707,16.686,18.550
2027,17.336,15.354,18.604,16.536,18.209,17.492,16.442,18.613,16.766,18.429
2028,17.139,16.245,18.397,16.519,18.227,17.629,16.328,19.618,16.752,18.171
2029,17.540,16.206,18.559,16.771,18.461,17.647,16.019,18.533,17.200,18.319
2030,17.451,16.291,18.524,16.634,18.021,17.675,16.738,19.211,16.816,18.541
2031,17.362,16.370,18.529,16.425,18.317,17.507,15.804,19.063,16.497,18.474
2032,17.489,15.761,19.409,16.280,18.528,17.326,15.095,18.388,16.434,17.882
2033,17.620,16.930,19.036,16.973,18.204,17.620,15.890,18.942,16.789,18.515
2034,17.738,15.897,19.094,16.860,18.517,17.670,15.819,19.081,16.361,18.865
2035,17.624,15.591,18.691,16.421,18.130,17.857,16.918,19.419,17.245,19.084
2036,17.450,15.946,18.787,16.721,18.417,17.640,16.314,18.467,16.625,18.378
2037,17.839,16.568,18.848,16.827,18.357,17.912,16.347,18.799,16.990,18.361
2038,17.425,16.740,18.978,16.831,18.331,17.750,16.778,19.151,16.985,18.952
2039,17.647,16.053,18.622,16.411,18.313,18.031,16.636,19.467,16.882,18.783
2040,17.571,15.862,18.422,16.818,18.152,18.198,16.271,18.917,16.945,18.531
2041,17.636,15.511,18.447,16.924,18.226,18.124,16.769,18.968,17.089,18.692
2042,17.844,16.299,18.713,16.894,18.668,18.293,16.474,19.430,16.953,19.242
2043,17.811,16.237,18.991,16.604,18.905,18.065,16.718,19.440,16.809,18.740
2044,17.893,16.567,19.773,17.078,18.994,18.044,16.261,19.252,16.839,18.898
2045,17.605,16.023,19.523,16.742,19.368,18.121,16.373,19.491,17.172,19.015
2046,17.519,16.322,18.515,16.878,18.339,18.118,16.576,19.551,17.171,19.433
2047,18.143,16.269,19.216,16.951,19.118,18.267,16.077,19.347,17.235,18.953
2048,18.117,16.807,19.087,17.109,18.980,18.271,16.796,19.611,17.223,19.361
2049,18.120,15.558,19.311,16.986,18.919,18.436,17.141,19.345,17.327,19.262
2050,18.208,16.479,19.818,17.630,19.008,18.737,17.000,19.724,17.319,19.380
2051,17.930,16.812,19.040,17.446,18.820,18.642,17.358,19.983,17.714,19.685
2052,18.139,16.993,19.677,17.295,19.537,18.506,16.445,20.086,17.906,19.948
2053,18.381,16.896,19.489,17.280,19.076,19.076,17.292,19.844,17.770,19.770
2054,17.973,16.122,19.046,17.554,18.680,18.763,16.852,21.479,17.526,19.825
2055,18.114,16.308,19.517,17.060,19.412,18.784,17.507,20.568,18.051,19.786
2056,17.956,16.480,19.302,16.635,19.078,18.870,17.631,19.630,17.701,19.465
2057,18.031,16.854,19.478,16.994,19.054,19.039,16.433,20.597,17.888,20.261
