year,rcp45median,rcp45min,rcp45max,rcp45p10,rcp45p90,rcp85median,rcp85min,rcp85max,rcp85p10,rcp85p90
2006,5.150,4.462,6.884,4.661,6.012,5.200,4.311,6.375,4.900,5.753
2007,5.141,4.369,6.279,4.607,5.748,5.100,4.118,6.798,4.491,5.598
2008,5.177,3.689,5.559,4.108,5.467,5.092,3.939,6.006,4.357,5.467
2009,5.286,4.408,6.818,4.726,5.828,5.275,4.087,7.204,4.459,5.659
2010,5.439,4.294,6.301,4.721,6.025,4.846,4.326,6.469,4.481,5.937
2011,5.568,4.180,6.084,4.879,6.063,5.221,4.043,6.036,4.457,5.863
2012,5.432,4.637,6.259,4.872,6.041,5.262,4.574,6.508,4.663,5.937
2013,5.171,4.379,5.838,4.522,5.736,5.215,3.991,6.201,4.586,5.966
2014,5.279,4.152,6.685,4.580,6.158,5.450,3.983,6.673,4.540,6.135
2015,5.529,4.649,6.033,4.709,5.853,5.624,4.286,6.369,4.486,5.875
2016,5.226,3.956,6.289,4.365,6.156,5.547,4.574,6.469,4.994,6.262
2017,5.294,3.746,6.118,4.740,5.811,5.733,4.741,6.567,4.994,6.375
2018,5.431,4.283,6.910,4.774,6.060,5.521,4.124,6.643,4.898,6.431
2019,5.421,4.560,6.852,4.915,5.922,5.717,4.435,6.329,4.641,6.241
2020,5.321,4.609,6.524,4.881,6.141,5.670,4.168,6.670,4.728,5.974
2021,5.396,4.424,6.348,4.705,5.958,5.746,3.890,6.581,4.604,6.135
2022,5.561,4.022,7.074,5.093,6.192,5.902,4.010,6.774,4.600,6.164
2023,5.653,4.775,6.523,4.859,6.366,5.870,4.733,6.727,5.151,6.354
2024,5.737,3.934,6.829,5.168,6.282,5.656,4.838,6.402,5.157,6.099
2025,5.608,4.907,6.393,4.987,6.022,5.758,4.551,6.654,5.277,6.383
2026,5.999,4.715,8.061,4.780,6.827,5.830,4.635,6.840,5.253,6.677
2027,5.610,4.238,7.027,4.701,6.447,5.854,4.971,6.788,5.333,6.485
2028,5.619,5.060,6.788,5.136,6.693,6.108,4.958,7.573,5.542,6.829
2029,5.885,4.673,6.654,4.904,6.464,6.076,5.077,7.078,5.389,6.943
2030,5.712,4.919,6.658,5.297,6.260,6.083,4.858,6.851,5.517,6.833
2031,5.858,4.256,6.825,5.096,6.553,5.654,4.752,6.965,5.153,6.366
2032,6.043,4.148,7.750,4.673,6.906,5.748,4.091,6.302,5.072,6.264
2033,6.090,4.922,7.062,5.157,6.692,6.195,4.108,7.374,5.281,6.704
2034,6.039,4.532,6.717,5.417,6.573,6.013,4.778,8.187,4.815,6.964
2035,5.912,4.396,6.843,5.288,6.741,6.101,5.533,7.480,5.635,7.203
2036,5.792,4.758,7.045,4.910,6.678,6.125,4.147,6.920,5.024,6.749
2037,6.016,4.710,7.044,5.245,6.846,6.443,4.567,7.116,5.576,6.791
2038,6.074,5.274,7.048,5.453,6.814,6.148,5.062,7.102,5.383,7.080
2039,6.047,4.504,6.767,5.114,6.467,6.353,4.958,7.503,5.641,7.208
2040,5.856,5.036,7.162,5.482,6.534,6.496,4.599,7.176,5.362,6.935
2041,5.927,4.609,6.637,5.174,6.628,6.247,4.915,7.429,5.684,7.200
2042,6.274,4.910,7.044,5.008,6.637,6.419,5.081,7.692,5.341,7.449
2043,5.890,4.589,7.313,5.058,6.774,6.513,4.592,7.422,5.514,7.337
2044,6.396,5.182,8.036,5.405,7.202,6.520,5.263,8.062,5.415,7.317
2045,6.111,4.637,7.972,5.347,6.892,6.589,5.297,7.697,5.746,7.453
2046,6.148,4.183,7.168,4.925,6.791,6.665,4.727,7.817,5.691,7.603
2047,6.491,4.814,7.429,5.586,7.181,6.648,4.695,8.025,5.138,7.391
2048,6.336,4.441,7.612,5.513,7.399,6.967,5.545,7.836,6.054,7.729
2049,6.417,4.502,7.937,5.746,7.558,6.826,4.919,7.913,5.942,7.856
2050,6.428,5.440,8.167,5.693,7.345,7.004,5.587,7.972,5.880,7.676
2051,6.444,5.169,7.396,5.508,7.280,6.681,5.496,8.149,5.879,8.021
2052,6.809,5.231,8.206,5.705,7.414,6.796,5.604,8.390,6.399,8.220
2053,6.605,5.186,7.780,5.713,7.453,7.236,5.553,8.361,6.474,7.893
2054,6.373,4.824,7.475,5.641,7.284,7.248,5.458,8.912,6.136,7.746
2055,6.607,5.156,7.958,5.476,7.451,7.148,5.994,8.766,6.272,8.046
2056,6.136,4.658,7.510,5.110,7.105,7.253,6.072,8.339,6.218,8.005
2057,6.601,5.304,7.582,5.507,7.203,7.362,5.210,9.076,6.496,8.553
2058,6.769,5.267,8.454,5.494,7.586,7.262,6.153,8.430,6.391,8.233
2059,6.572,5.304,8.635,5.632,7.834,7.376,6.055,8.818,6.343,8.433
