month,mean30,max,median,min,p10,p90
1,-0.418,4.078,0.366,-6.703,-2.656,2.061
2,0.822,4.520,0.642,-3.529,-0.803,2.840
3,1.667,4.242,1.644,-1.036,0.229,3.216
4,2.808,5.409,3.105,0.876,1.258,4.122
5,5.118,8.098,5.314,3.744,4.313,6.873
6,8.026,10.873,7.941,6.065,7.040,9.222
7,9.474,11.786,9.741,8.131,8.685,10.886
8,9.672,11.473,9.906,7.179,8.414,10.793
9,7.840,10.499,7.982,6.026,6.659,9.314
10,4.790,7.552,4.583,2.409,3.206,5.966
11,2.332,5.849,2.850,-1.692,-0.182,4.021
12,0.258,4.913,0.303,-4.466,-1.524,2.194
