month,2025rcp45_max,2025rcp45_median,2025rcp45_min,2025rcp45_p10,2025rcp45_p90,2025rcp85_max,2025rcp85_median,2025rcp85_min,2025rcp85_p10,2025rcp85_p90,2050rcp45_max,2050rcp45_median,2050rcp45_min,2050rcp45_p10,2050rcp45_p90,2050rcp85_max,2050rcp85_median,2050rcp85_min,2050rcp85_p10,2050rcp85_p90,2075rcp45_max,2075rcp45_median,2075rcp45_min,2075rcp45_p10,2075rcp45_p90,2075rcp85_max,2075rcp85_median,2075rcp85_min,2075rcp85_p10,2075rcp85_p90
1,8.725,8.322,7.475,7.611,8.523,9.137,8.329,7.743,8.002,8.748,9.391,8.907,7.983,8.168,9.335,10.158,9.135,8.062,8.529,9.860,10.303,9.251,8.399,8.500,9.961,11.633,10.636,9.145,9.445,11.258
2,11.152,10.613,9.967,10.038,11.091,11.538,10.760,9.778,10.126,11.345,12.203,11.208,10.318,10.565,11.754,12.395,11.477,10.476,10.949,12.329,12.919,11.817,10.724,10.808,12.650,14.375,12.866,11.419,12.108,13.869
3,13.772,13.000,12.032,12.263,13.650,13.889,13.094,12.077,12.274,13.533,15.154,13.870,12.220,12.943,14.354,15.115,13.865,12.511,12.728,14.912,15.406,14.005,12.841,13.254,15.075,16.745,15.242,13.507,14.100,16.342
4,16.656,15.783,14.997,15.119,16.450,16.821,15.884,14.791,15.091,16.629,17.916,16.551,14.789,15.780,17.334,18.063,16.575,15.280,15.631,17.949,18.605,16.922,15.424,15.938,18.329,19.364,17.790,15.668,16.634,19.005
5,20.147,19.394,18.286,18.876,19.775,20.211,19.494,18.521,18.760,19.974,20.722,20.072,18.800,19.311,20.452,21.236,20.169,19.247,19.768,20.996,21.661,20.403,18.950,19.599,20.999,22.814,21.522,19.881,20.426,22.566
6,24.096,22.793,21.849,22.155,23.300,23.928,22.870,22.182,22.498,23.560,25.114,23.269,22.675,22.765,24.200,25.215,24.268,22.956,23.181,24.794,25.778,24.118,23.046,23.335,25.155,26.967,25.610,23.953,24.444,26.599
7,27.950,27.128,25.473,26.224,27.463,28.354,27.206,25.893,26.777,27.507,29.697,28.101,26.348,27.123,28.785,31.254,28.719,26.719,27.974,29.558,30.664,28.595,26.794,27.641,30.184,33.295,30.783,27.808,29.352,31.786
8,28.290,27.240,26.410,26.789,27.870,28.597,27.443,26.805,26.850,28.173,29.754,28.264,27.295,27.629,29.258,30.810,29.095,27.369,28.110,29.862,30.812,28.834,27.394,28.103,30.138,33.880,31.024,29.107,30.067,32.292
9,25.722,24.587,23.433,23.868,25.180,25.380,24.555,24.109,24.250,25.169,26.604,25.245,24.234,24.636,26.095,27.197,26.120,24.322,24.980,26.840,27.263,25.777,24.849,25.084,27.008,29.742,27.632,25.892,26.494,29.056
10,18.708,18.301,17.552,17.793,18.600,18.939,18.036,17.598,17.804,18.509,19.480,18.859,17.984,18.157,19.163,20.408,19.466,18.079,18.711,20.045,20.030,19.143,18.134,18.518,19.946,21.832,20.606,18.892,19.756,21.727
11,12.302,11.548,10.859,11.013,12.001,12.320,11.739,10.963,11.276,12.140,13.123,12.185,11.009,11.687,12.644,13.756,12.734,11.568,12.059,13.387,13.529,12.797,11.441,11.903,13.322,15.191,13.978,12.740,13.203,14.940
12,8.629,8.272,6.888,7.593,8.525,9.095,8.426,7.578,7.822,8.848,9.523,8.921,8.140,8.341,9.398,10.488,9.479,8.379,8.664,9.977,10.264,9.451,8.227,8.664,9.936,11.833,10.583,9.466,9.667,11.524
