month,2025rcp45_max,2025rcp45_median,2025rcp45_min,2025rcp45_p10,2025rcp45_p90,2025rcp85_max,2025rcp85_median,2025rcp85_min,2025rcp85_p10,2025rcp85_p90,2050rcp45_max,2050rcp45_median,2050rcp45_min,2050rcp45_p10,2050rcp45_p90,2050rcp85_max,2050rcp85_median,2050rcp85_min,2050rcp85_p10,2050rcp85_p90,2075rcp45_max,2075rcp45_median,2075rcp45_min,2075rcp45_p10,2075rcp45_p90,2075rcp85_max,2075rcp85_median,2075rcp85_min,2075rcp85_p10,2075rcp85_p90
1,1.998,1.446,0.628,0.738,1.851,2.587,1.501,0.745,0.980,2.002,2.744,2.090,1.186,1.317,2.614,3.477,2.375,1.167,1.673,3.152,3.755,2.445,1.405,1.710,3.428,5.145,4.006,2.576,2.647,4.669
2,2.725,1.993,1.409,1.508,2.544,3.062,2.132,1.322,1.628,2.848,3.982,2.638,1.924,2.123,3.260,4.279,3.008,2.200,2.372,4.048,4.817,3.172,2.274,2.398,4.455,6.163,4.253,3.234,3.626,5.727
3,3.560,2.839,1.950,2.314,3.415,3.856,2.884,2.026,2.249,3.362,4.742,3.462,2.415,2.748,4.246,4.821,3.821,2.634,2.793,4.776,5.148,3.734,2.868,3.116,4.999,6.415,5.095,3.630,4.199,6.014
4,4.773,4.026,3.448,3.598,4.600,4.841,4.263,3.327,3.731,4.623,5.927,4.719,3.589,4.054,5.221,6.114,4.930,3.869,4.465,5.860,6.421,5.019,4.269,4.362,6.007,7.364,6.048,4.899,5.183,7.155
5,6.892,6.407,5.705,6.124,6.803,6.963,6.530,5.803,6.069,6.804,7.855,7.025,6.043,6.510,7.546,8.276,7.369,6.687,7.027,8.044,8.287,7.461,6.433,6.683,8.222,9.830,8.544,7.577,7.990,9.568
6,9.779,9.126,8.395,8.610,9.511,9.812,9.248,8.394,8.804,9.506,10.891,9.742,8.710,9.081,10.670,11.356,10.431,8.765,9.470,11.030,11.520,10.184,9.083,9.614,11.313,13.221,11.771,10.028,10.665,12.976
7,11.464,10.733,9.805,10.217,11.088,11.636,10.822,10.212,10.404,11.267,12.553,11.469,10.243,10.500,12.216,13.792,11.989,10.833,11.025,12.852,13.396,11.818,10.573,10.986,13.069,15.587,13.641,11.926,12.318,15.070
8,11.741,10.793,10.085,10.537,11.326,11.874,10.948,10.093,10.647,11.800,12.978,11.568,10.471,10.784,12.553,13.910,12.436,11.128,11.359,13.471,13.919,12.053,10.907,11.113,13.394,16.782,14.202,12.674,12.961,16.140
9,9.916,9.202,8.280,8.555,9.884,10.086,9.369,8.204,8.991,9.854,11.138,9.947,8.702,8.980,11.033,12.023,10.728,8.394,9.562,11.574,12.015,10.509,9.075,9.593,11.575,14.632,12.266,10.732,11.264,14.040
10,6.371,5.957,5.134,5.632,6.318,6.570,5.936,4.946,5.532,6.431,7.343,6.765,5.374,5.917,7.115,8.380,7.169,5.854,6.548,7.735,7.931,7.054,5.751,6.151,7.895,10.068,8.856,6.790,7.441,9.721
11,4.015,3.394,2.681,2.991,3.921,4.261,3.557,2.640,3.065,3.941,4.907,4.063,2.787,3.371,4.449,5.663,4.665,3.243,3.813,4.943,5.201,4.622,3.035,3.839,5.162,7.085,5.813,3.947,4.859,6.767
12,2.120,1.663,0.097,0.966,1.985,2.483,1.850,0.878,1.036,2.315,3.003,2.339,1.031,1.829,2.917,4.038,2.893,1.584,1.918,3.608,3.759,2.846,1.386,1.927,3.508,5.612,3.756,2.247,3.249,4.902
